[2026-04-19T20:29:00.304Z] GET https://static.figma.com/webfont/1/Figma-Standard-Text-Medium.woff2 → 200 (?ms, ?B)
[2026-04-19T20:29:00.304Z] GET https://static.figma.com/webfont/1/Figma-Standard-Text-Bold.woff2 → 200 (?ms, ?B)
[2026-04-19T20:29:00.346Z] GET https://cdn.sprig.com/shim.js?id=YWwyCyGyqg → 200 (?ms, 93096B)
[2026-04-19T20:29:00.346Z] GET https://developers.figma.com/assets/js/5e95c892.913b7b8e.js → 200 (3ms, 378B)
[2026-04-19T20:29:00.346Z] GET https://developers.figma.com/assets/js/fbcd28be.4d2aea8b.js → 200 (4ms, 226B)
[2026-04-19T20:29:00.346Z] GET https://developers.figma.com/assets/js/a7bd4aaa.46f710ed.js → 200 (4ms, 732B)
[2026-04-19T20:29:00.346Z] GET https://developers.figma.com/assets/js/23980ce4.66e7738c.js → 200 (4ms, 8211B)
[2026-04-19T20:29:00.346Z] GET https://developers.figma.com/assets/js/a94703ab.9f020c9f.js → 200 (4ms, 11905B)
[2026-04-19T20:29:00.346Z] GET https://developers.figma.com/assets/js/49227.25aed952.js → 200 (?ms, 24625B)
[2026-04-19T20:29:00.346Z] GET https://developers.figma.com/assets/js/17896441.cef22b97.js → 200 (4ms, 14656B)
[2026-04-19T20:29:00.347Z] GET https://developers.figma.com/assets/js/ed400d99.f344e291.js → 200 (4ms, 48259B)
[2026-04-19T20:29:00.374Z] POST https://www.figma.com/api/figment-proxy/put → pending (?ms, ?B)
[2026-04-19T20:29:00.434Z] GET https://developers.figma.com/assets/js/5e95c892.913b7b8e.js → 200 (4ms, 378B)
[2026-04-19T20:29:00.434Z] GET https://developers.figma.com/assets/js/fbcd28be.4d2aea8b.js → 200 (4ms, 226B)
[2026-04-19T20:29:00.434Z] GET https://developers.figma.com/assets/js/a7bd4aaa.46f710ed.js → 200 (4ms, 732B)
[2026-04-19T20:29:00.434Z] GET https://developers.figma.com/assets/js/23980ce4.66e7738c.js → 200 (4ms, 8211B)
[2026-04-19T20:29:00.434Z] GET https://developers.figma.com/assets/js/a94703ab.9f020c9f.js → 200 (4ms, 11905B)
[2026-04-19T20:29:00.435Z] GET https://developers.figma.com/assets/js/17896441.cef22b97.js → 200 (4ms, 14656B)
[2026-04-19T20:29:00.435Z] GET https://developers.figma.com/assets/js/13cb4fc8.c54a8b6a.js → 200 (4ms, 7340B)
[2026-04-19T20:29:00.435Z] GET https://developers.figma.com/assets/js/7747b91f.efeebc98.js → 200 (4ms, 19116B)
[2026-04-19T20:29:00.435Z] GET https://developers.figma.com/assets/js/1df93b7f.3a897d24.js → 200 (4ms, 72716B)
[2026-04-19T20:29:00.435Z] GET https://developers.figma.com/assets/js/a7456010.7795eec0.js → 200 (4ms, 208B)
[2026-04-19T20:29:00.435Z] GET https://developers.figma.com/assets/js/518fd2a1.3cb98134.js → 200 (4ms, 6975B)
[2026-04-19T20:29:00.435Z] GET https://developers.figma.com/assets/js/ed400d99.f344e291.js → 200 (5ms, 48259B)
[2026-04-19T20:29:00.435Z] GET https://developers.figma.com/assets/js/156b232f.13639ee6.js → 200 (5ms, 13136B)
[2026-04-19T20:29:00.435Z] GET https://developers.figma.com/assets/js/98d92a70.6cc06e18.js → 200 (5ms, 7977B)
[2026-04-19T20:29:00.435Z] GET https://developers.figma.com/assets/js/04e8bd60.fc4f57c5.js → 200 (5ms, 30624B)
[2026-04-19T20:29:00.435Z] GET https://developers.figma.com/assets/js/95ff11d4.42a0ce0b.js → 200 (5ms, 10972B)
[2026-04-19T20:29:00.435Z] GET https://developers.figma.com/assets/js/bb896ad0.79b79454.js → 200 (5ms, 17050B)
[2026-04-19T20:29:00.436Z] GET https://developers.figma.com/assets/js/c4454349.a9da31a2.js → 200 (5ms, 19356B)
[2026-04-19T20:29:00.437Z] GET https://developers.figma.com/assets/js/334add35.d16ec0bc.js → 200 (4ms, 30095B)
[2026-04-19T20:29:00.437Z] GET https://developers.figma.com/assets/js/5d4e2826.81c48819.js → 200 (4ms, 6289B)
[2026-04-19T20:29:00.437Z] GET https://developers.figma.com/assets/js/816663dd.a79743e2.js → 200 (4ms, 11362B)
[2026-04-19T20:29:00.438Z] GET https://developers.figma.com/assets/js/528c0f96.36db9044.js → 200 (4ms, 13662B)
[2026-04-19T20:29:00.442Z] GET https://api.sprig.com/sdk/1/environments/YWwyCyGyqg/config → pending (?ms, ?B)
[2026-04-19T20:29:02.644Z] POST https://api.sprig.com/sdk/1/visitors/a950053b-3f32-4cd4-84d6-e921c5a66df5/events → pending (?ms, ?B)
